id,datetime,platform,constellation,collection
S2B_MSIL2A_20241110T091119_N0511_R050_T34TFK_20241110T104442,2024-11-10T09:11:19.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241108T092201_N0511_R093_T35TKF_20241108T123352,2024-11-08T09:22:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241108T092201_N0511_R093_T35TKE_20241108T123352,2024-11-08T09:22:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241108T092201_N0511_R093_T34TGL_20241108T123352,2024-11-08T09:22:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241108T092201_N0511_R093_T34TGK_20241108T123352,2024-11-08T09:22:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241108T092201_N0511_R093_T34TFL_20241108T123352,2024-11-08T09:22:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241108T092201_N0511_R093_T34TFK_20241108T123352,2024-11-08T09:22:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241105T091151_N0511_R050_T35TKF_20241105T122155,2024-11-05T09:11:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241105T091151_N0511_R050_T35TKE_20241105T122155,2024-11-05T09:11:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241105T091151_N0511_R050_T34TGL_20241105T122155,2024-11-05T09:11:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241105T091151_N0511_R050_T34TGK_20241105T122155,2024-11-05T09:11:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241105T091151_N0511_R050_T34TFL_20241105T122155,2024-11-05T09:11:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241105T091151_N0511_R050_T34TFK_20241105T122155,2024-11-05T09:11:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241103T092049_N0511_R093_T35TKF_20241103T105006,2024-11-03T09:20:49.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241103T092049_N0511_R093_T35TKE_20241103T105006,2024-11-03T09:20:49.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241103T092049_N0511_R093_T34TGL_20241103T105006,2024-11-03T09:20:49.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241103T092049_N0511_R093_T34TGK_20241103T105006,2024-11-03T09:20:49.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241103T092049_N0511_R093_T34TFL_20241103T105006,2024-11-03T09:20:49.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241103T092049_N0511_R093_T34TFK_20241103T105006,2024-11-03T09:20:49.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241031T091029_N0511_R050_T35TKF_20241031T104221,2024-10-31T09:10:29.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241031T091029_N0511_R050_T35TKE_20241031T104221,2024-10-31T09:10:29.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241031T091029_N0511_R050_T34TGL_20241031T104221,2024-10-31T09:10:29.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241031T091029_N0511_R050_T34TGK_20241031T104221,2024-10-31T09:10:29.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241031T091029_N0511_R050_T34TFL_20241031T104221,2024-10-31T09:10:29.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241031T091029_N0511_R050_T34TFK_20241031T104221,2024-10-31T09:10:29.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241029T092111_N0511_R093_T35TKF_20241029T123853,2024-10-29T09:21:11.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241029T092111_N0511_R093_T35TKE_20241029T123853,2024-10-29T09:21:11.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241029T092111_N0511_R093_T34TGL_20241029T123853,2024-10-29T09:21:11.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241029T092111_N0511_R093_T34TGK_20241029T123853,2024-10-29T09:21:11.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
